data;
set J := 1 2 3 4;
set I := 0 1 2 3 4;
set K := 1 2;
param V := 9999;

param G :=
	0 1 1 5
	0 1 2 5
	0 2 1 10
	0 2 2 10
	0 3 1 40
	0 3 2 20
	0 4 1 40
	0 4 2 20
	1 0 1 5
	1 0 2 5
	1 1 1 5
	1 1 2 5
	1 2 1 20
	1 2 2 20
	1 3 1 50
	1 3 2 30
	1 4 1 50
	1 4 2 30
	2 0 1 10
	2 0 2 10
	2 1 1 15
	2 1 2 15
	2 2 1 10
	2 2 2 10
	2 3 1 50
	2 3 2 30
	2 4 1 50
	2 4 2 30
	3 0 1 40
	3 0 2 20
	3 1 1 15
	3 1 2 15
	3 2 1 20
	3 2 2 20
	3 3 1 40
	3 3 2 20
	3 4 1 50
	3 4 2 30
	4 0 1 40
	4 0 2 20
	4 1 1 15
	4 1 2 15
	4 2 1 20
	4 2 2 20
	4 3 1 50
	4 3 2 30
	4 4 1 40
	4 4 2 20;

end;

